# Electron linewidth = 2*Im(Sigma) (meV)
#      ik       ibnd                 E(ibnd)      Im(Sigma)(meV)
      191         11   -0.80624364434799E-01    0.81054075433184E+01
      191         12    0.25334230226260E+01    0.41016190986592E+01
      192         11    0.11613268608871E+00    0.77673010731937E+01
      192         12    0.37215715222308E+01    0.16764138792062E+01
      193         11    0.11003987880750E+00    0.81497783849679E+01
      193         12    0.37255170835177E+01    0.15603793513063E+01
      194         11   -0.15824588528438E+01    0.10203929492153E+01
      194         12    0.31065500152987E-01    0.97683022818467E+01
      195         11   -0.15988909032373E+01    0.12556513574200E+01
      195         12    0.66877878938222E-01    0.10047787253422E+02
      196         11    0.76191407866457E-01    0.84826849494353E+01
      196         12    0.29043595662837E+01    0.66926400661521E+00
      197         11    0.71827095578823E-01    0.84620095800579E+01
      197         12    0.28994039511232E+01    0.58425519910225E+00
      198         11   -0.15994227413318E+01    0.12565727743441E+01
      198         12    0.70174229974848E-01    0.10327317861372E+02
      199         11   -0.12716200566163E+01    0.29938735384803E+00
      199         12    0.88889284208086E-02    0.79414516175291E+01
      200         11    0.98966425434438E-01    0.77501344229776E+01
      200         12    0.18468150872589E+01    0.20605423797918E+01
      201         11    0.98966425304324E-01    0.78030325305406E+01
      201         12    0.18468150872372E+01    0.20598933012571E+01
      202         11   -0.12727284151281E+01    0.28316438819525E+00
      202         12    0.69047134339383E-02    0.78598861342326E+01
      203         11   -0.64891256592333E+00    0.15040586550369E+01
      203         12    0.50179744047073E-01    0.79379436842535E+01
      204         11    0.15608416257109E+00    0.77313814173092E+01
      204         12    0.97953390949937E+00    0.37542195769247E+01
      205         11    0.15750980438747E+00    0.78938409104360E+01
      205         12    0.98098025429777E+00    0.37969627683158E+01
      206         11   -0.64977404852506E+00    0.14799414894568E+01
      206         12    0.49263103160289E-01    0.79526609478836E+01
      207         11   -0.70991379567142E-01    0.52710862049527E+01
      207         12   -0.70988922076951E-01    0.52710862049527E+01
      208         11   -0.70944265189837E-01    0.52863465896694E+01
      208         12   -0.70941806796325E-01    0.52863465896694E+01
      209         11   -0.39318699341755E-01    0.89756697299137E+01
      209         12    0.13278525025840E+01    0.38832992449406E+01
      210         11   -0.39318699251126E-01    0.86627614248074E+01
      210         12    0.13278525025016E+01    0.37672097103152E+01
      211         11    0.22571072204421E-01    0.12301030451562E+02
      211         12    0.13830793281408E+01    0.51456867791469E+01
      212         11    0.22602675170783E-01    0.12491751867892E+02
      212         12    0.13830736428012E+01    0.51286038137010E+01
      213         11   -0.10471793252094E+00    0.11618028631098E+02
      213         12    0.25203915174821E+01    0.45295816147341E+01
      214         11   -0.10475747886309E+00    0.11588089214451E+02
      214         12    0.25204177876315E+01    0.43600806789267E+01
      215         11    0.75086048925531E-01    0.96730284800583E+01
      215         12    0.38797095110829E+01    0.13228019258735E+01
      216         11    0.75736285944016E-01    0.96745779784679E+01
      216         12    0.38791353735426E+01    0.13027729576691E+01
      217         11    0.23392909215893E-01    0.91696223446729E+01
      217         12    0.43243415352968E+01    0.56572685250972E+00
      218         11    0.23741619704398E-01    0.92310387438178E+01
      218         12    0.43245150352142E+01    0.56256750019475E+00
      219         11    0.38481249320995E-01    0.88628089572198E+01
      219         12    0.29339198637921E+01    0.10898377881679E+01
      220         11    0.38481249257607E-01    0.87971952295630E+01
      220         12    0.29339198637570E+01    0.99433606306767E+00
      221         11   -0.15218875893279E+01    0.36443719884956E+00
      221         12   -0.18719474154301E+00    0.14125111841364E+02
      222         11   -0.13496674988277E+01    0.34145233825144E+00
      222         12    0.74845666712292E-02    0.88929526934962E+01
      223         11    0.98965649441126E-01    0.77501589787865E+01
      223         12    0.18468147900585E+01    0.20605277264030E+01
      224         11    0.99601017636119E-01    0.77650521530765E+01
      224         12    0.18475748971581E+01    0.20966147000401E+01
      225         11   -0.13494421475314E+01    0.34127081578082E+00
      225         12    0.79572762792334E-02    0.88747670436938E+01
      226         11   -0.15212268044298E+01    0.36064107175863E+00
      226         12   -0.18560883207513E+00    0.13917496092872E+02
      227         11   -0.68572343753015E+00    0.16701944183756E+01
      227         12    0.28627689222573E-01    0.91552609028953E+01
